question,filtered_answer
"9개월에 갑자기 입면이 힘든 아기 있나요.. 밤잠 낮잠 모두 눕히면 좀 뒹굴다 잤는데요,
며칠전부터 침대만 가면 울면서 엄마를 불러대고 침대가드잡고 매달려서 울고불고 난리도 아니예요ㅠ
밤잠은 재워서 눕히면 자는데 낮잠은 그마저도 안돼서 아기띠 다시 꺼냈는데 ㅠㅜ
이제 10키로라 너무 힘드네요..
갑자기 무슨일일까요 이게ㅠㅜ
비슷한 아기 있나요..",['9갤이 딱 원더윅스 겹챠 그런 시기래요 저도 고생 엄청 하고 계속 같이 자주고 했는데 10갤 넘어가니 괜찮아졌어용 존버하세요\n헐 원윅이 또 4개월에 개고생했는데 또 시작인가보네요\n아 우리 아기도 그랬어요 밤잠 낮잠 모두 눕히고 잘자~ 하고 나오면 혼자 자는 아기인데 눕혀놓고 나오려고 하면 울고 칭얼대고 한동안 같이 누워
"먹을때마다 똥을 싸는 아기 205일되는 아가를 키우고 있어요.
이유식 또는 분유를 먹을때마다 똥을 싸는데,
설사는 아닌데, 아픈건 아닌지 걱정되네요.
200일즈음 되면 자주 싸나요..",아가가 건강한 것 같아서 전 좋은데요.
"영양제 이제 13개월 아기입니다~
밥은 양이 많지 않아도
꼭꼭 잘 챙겨주고 잘 먹는 편입니다
영양제를 어디까지 줘야할지ㅠㅠ
광고 말고 진짜 후기 공유해쥬실분~
어디꺼 먹이시는지도 같이 알려주세요!
(댓글 목록 보고 광고성 댓글 제가 삭제 예정입니다-!
진짜 고민이되어 남긴 글에 광고 적지 말아주세요-!)",['저는 영양제보다 골고루 먹이는게 더 중요하다고 생각해서 영양제는 아연 비타민디 유산균만 다 합쳐진 바이오메라 먹이고 먹는걸 신경써주고 있어요 잘 먹는게 낫다고 생각해서 간도 좀 하고 김밥김에 소고기장조림이랑 야채 넣어서 작게 김밥으로 만들어주는거 잘 먹어서 안 먹을 땐 그렇게 자주 주고 후리카케도 종류별로 사서 매번 다르게 주
"이름 선택해주세오~ 첫째가 예로 시작하는.이름이라 저는 둘째도 맞추고 싶어요
성은 조씨 입니다 ㅋㅋㅋ
남편은 조예담 조예참을 밀고있고
저는 조예건 조예한 (환) 을 밀고있어여 ㅜ
남편이 카페에 투표를 해보라고 하네요 ㅋㅋㅋㅋ
맘님들 투표 부탁드립니다 !!
무기명 투표 중
둘째 아들 이름!
복수 선택 가능
조예찬
조예담
조예건
조예한(환)
투표하기","첫째이름은 뭐예요? 이름이 불렀을때 힘들지.않은게 좋을것같아요
예찬이가 좀 더 부르기 쉬운것같아용"
"7~8개월 아기들 막수 언제 먹구 잠드나요? 울 아기는 막수 7시에 240 먹구 8시~ 8시30분에잠드는데..항상 12시~1시엔 꼭 깨선 다시 잠을 못 드는데.
막수시간이 넘 빠른가? 싶기도 하구.
양이 적은가 싶어 260 먹인적도 있는데.여전히 그 시간에 깨선 뒤척이구 있어요
다른 아가들은 막수 얼만큼 먹구 몇시에 먹구 언제 잠드나요?",9시쯤 막수하고 재워요
"주말에 아기 돌잔치했는데 어린이집에 답례품 돌려도 되나요? 지난 주말에 돌잔치를 했는데 어린이집에 답례품을 돌려도 되는지 궁금해요..
담임쌤 두분, 원장님, 같은반 친구들꺼 주고 싶은데 받는쪽 입장에서 부담일까요?",네 부담일수 있다네요 맞벌이면은 아무래도 더 신경못쓰신 부모님들은 속상해한다더라구요 원에 먼저 물어보셔요
"오늘은 밤잠을 안자네요....ㅎ 55일차 낮 수유텀2시간반~3시간 아가인데
최근 며칠은 밤 수유텀이 4시간까지 벌어지더니
오늘 다시 2시간반~3시간으로 줄었네요...ㅎ
잠을 깊게 못자고 계속 깨서 그런가봐요
낮에는 하루종일 울고 밤에는 또 못자고
이 시기가 빨리 지나가면 좋겠어요
졸려죽겠네요ㅠㅠㅋㅋㅋ....",고생이 많습니다
"출산하고 나니 더 걱정돼요.. 이주 전 아가 낳고 몸 조리 중인데..
아가 가졌을 때 온탕에 들어간 것,
배에 핫팩 대고 있던 것 (내복 위에 붙임)
썰매 탄 것… 이것저것 다 생각나서요 ㅠㅠㅠ
아기 정상적으로 태어 났으니 걱정안해도 되겠죠?
출산 후 걱정인형이 되어버렸네요..",출산 후 걱정인형이 되어버렸네요..
"8월에 아기 100일이신 분들 🤍 준비하고 계시나요?
약 한 달 남았는데 뭐 뭐 준비해야 할까요?
이미 치르신 선배분들도 알려주세요 🧡",백일떡 백일상업체 풍선 올려놓을 과일 요정도요 상차림엔 떡이랑 과일만 준비하면 되는군요 감사합니다 저는 백일떡따로했고 백일상대여업체 백일풍선 직계가족끼리 식사했어서 식당예약 룸으로 예약 했었어요 식당에 상차림을 하는 것도 좋은 방법이겠어요 감사합니다
에어컨 다들 에어컨 틀고 주무시나요 ? 🤔,"에어컨 다들 에어컨 틀고 주무시나요 ? 🤔

- 애기 있어서 안끄고 살아요"
휴대용 유모차 휴대용 유모차 추천해주세욤 ^^,['저는 줄즈잘쓰고있어요!! 핸들링은 요요2 강추해용']
아기 방 아기방에 블라인드 아님 커튼이 나을까요? 고민이네요ㅠ,블라인드를 암막으로 달고 겉에 쉬폰커튼으로 2중으로 달면 안막효과+인테리어적으로 예쁨 두가지 동시에 되서 아기 잘때만 안쪽 블라인드 내려주면 넘 좋더라구요ㅋㅋ
"8개월 아기 이천 테르메덴 어떨까요? 제곧내 입니다.
8개월 아기랑 이천 테르메덴 가기 괜찮나요??
가면 당일치기보단 근처에서 하루 숙박하고 오는 게 나을까요??
지인이 추천해줘서 가볼까 싶은데 애기가 너무 어린가
싶기도 해서요.","8개월 아기가 이천 테르메덴에 가는 것은 권장되지 않습니다. 요즘 워터파크나 풀장에서 전염병 걸릴 수도 있고, 물놀이를 길게 할 때가 아니기 때문에 독채 풀빌라를 선택하는 것이 나을 것 같아요."
"일본뇌염 담주에 돌아기 일본뇌염 맞춰야하는데 ㅠ
어떤 걸로 맞추셨나요?",전오늘 맞으러가는데 고민하다 결정했습니다 생백신하려구여 담달부터 어린이집도가야하고 저는 맞벌이라 바쁘니^^
장난감 14개월 여아 아기 선물 추천해주세욤 ^^,장난감 14개월 여아 아기 선물로 하베 애니멀자석블럭이 모양도 예뻐서 선물용으로 좋아요. 이거 하나로 숫자놀이나 동물놀이도 할 수 있어서 활용하기 좋아요.
"7개월 아기 소음순 유착 현재 7개월 된 첫아이에요.
6개월 영유아 검진때 소음순 유착 진단받아 바르는 여성 호르몬젤 처방 받았는데요, 차도가 없어 다시 내원을 해야할 것 같아요ㅠㅠ
소아과를 다시 가는 것이 좋을지 아님 산부인과를 가는 것이 좋을지 고민이 되는데 혹 비슷한 경험 있으셨던 분 있으시면 말씀 부탁드려요!","산부인과 추천합니다
저희 애기 소음순 유착이였을때 산부인과가서 비팤텐 바르면 벌어지는데 혹시 안벌어지거나 하면 다른 연고? 혹은 째야한다고 둘었어요

소아과에서 영유아 검진 받고 산부인과로 넘어가서 산부인과 추천요
그렇군요! 연고로 해결되면 좋겠네요ㅠㅠ 산부인과 가볼게요, 말씀 감사합니다! :)"
"4개월 아기 분유먹을때 산만한데 4개월아기 분유먹을때 산만한거같아요 ㅠㅠ
그냥못먹고 계속움직이고 이러는데 바로잡을순 없는건가여 .. 자세때문인지 아니면 왜 이럴까요..",6개월된 애기도 분유먹으면서 몸비틀고 난리에요 걱정마세요! 자연스러운거니 너무 신경쓰이면 장난감이 보이지않는 방에서 수유하는거 추천드립니다!
"8개월아기보행기질문 보행기태워도괜찮나요?
잡고일어서서 걸으려고만해서
태워볼까해요","저는 3,4개월때 태웠어요 그때도 잘밀고 다녔어요"
"13개월 남자아기 발달 괜찮은가요? 첫째아이고 주변엄마들에게 묻기에는 발달같은건 좀 얘는 이거하냐어쩌냐 직설적으로 묻기 어려워 익명공간에 여쭤봐요.
휘청휘청 잘걸어요
엄마어딨어하면 손가락으로 한번씩 가르킴.
강아지를 매우좋아해서 강아지 어딨어하면 매번 잘 가르킴.
길가에 강아지보고 멍머 라고함.
멍멍 꽥꽥 까꿍 맘마 할 수 있음. 엄마아빠는 걍 옹알이인것같아요.
기저귀 쓰레기통에 버려라고하면 버리고옴.
리모컨이나 자기가 좋아하는 물건 보관하는 서랍 뒤져서 가져오고 다시 가져다놓음
아기띠하고싶음 아기띠들고와요
최근에 갑자기 의사표현이 폭발하는것같아서 너무 귀여운데
조금 빠른건가요? 평균정도 속할까요? 늦는건 아닌것같은데
첫애니까 정말 감이 아예없어요~",지금은 티가 안나는 것 같지만 맘님이 노력하신 게 아가머릿속엔 다 저장되어 한꺼번에 폭발 될거에요! 귀따갑다고 입좀쉬었으면 하는 그날까지 화이팅입니다. 지나가다 대댓 남겨봅니다. 저희 아기가 돌전부터 말했어서 발화가 빠른편이긴한데 돌 지나서는 의사쌤 조언이 도움 많이 되었어요. 돌 지난 아기들 울음끝에 말터진다고 죽고사는
1개월 장난감 추천 모빌은 열심히 보여주고 있는데 다른 장난감 추천해주실만한 거 있으실까요?,초점책이요~
"아기 책 어떤거 사시나요? (+추천부탁) 15개월된 남자아기인데 다들 어떤책 사주시나요?
지금 생각해놓은게
-그래그래 (그레이트북)
-푸름이까꿍
-도레미곰
어떤거 추천하시나요ㅠ",도레미곰이예요~ 지금 들이기 이르다고 생각할수도 있는데 도단계부터 노출해주면서 노래랑 들려주면 재밌게 볼 것 같아요ㅎㅎ
시판 이유식 시판이유식하시는 분들 직접 해주는 것과 어느정도 비율로 먹이시나요,전 이유식은 쭉 시판했고 유아식으로 넘어와서 시판60 직접만드는거40정도비율인 것 같아요. 일하다보니까 아기반찬따로 만드는 것도 좀 힘들더라고요. 시판이 메인이고 시간 여유 될 때 간간히 소고기나 닭고기 큐브 만들었다가 종종 섞어서 먹여요.
돌아기 걷기연습 걷기연습 어떻게 시키셨나요,스스로 잘 걸어서 딱히 시킨건 없었어요 대신 잘 넘어지니 밖에서는 곁에서 지켜보았구요~ 혼자 잡고 서고 소파나 벽 짚으면서 옆으로 걷고 따로 손잡고 걷기같은 연습 전혀 안 시켰어요 알아서 걸을때까지 지켜보셔요
"150일 아기 첫니요ㅠㅠ 이가 이렇게 약간 틀어져서 나는데 괜찮은걸까요ㅠㅠ...?
병원을 가봐야하는건지 아니면 그냥 냅둬도 괜찮을지 해서요ㅠ~","다 올라오고 보셔두되요! 약간 삐뚤게 나는 경우도잇고 문제없어요 ㅎㅎ
감사합니다마음이 좀 놓이네요"
"170일아가 분유만 먹으면 똥싸는데 문제있나요? 원래 하루에 1-2회 싸다가 요새 갑자기 븐유만 먹으면 방구 뀌면서 똥을 싸요 ㅠㅠ
몽글몽글한 알갱이들 좀 있고 색은 노란데 장염일까요? 열은 없고 컨디션은 매우 좋아보이는데 무슨 문제가 있을까요?",원래 안 그러다가 횟수 증가 했으면 장염 의심 할 수 있어요. 저희 아기는 돌 지나서인긴 했는데 먹으면 바로 응가해서 이상하다 생각해서 며칠 지켜보다 병원 갈 일있어서 물어보니 장염 초기라고 하더라구요.
"쉽게 피곤해하는 아기ㅠㅠ 왜이럴까요? 잠이 많은편이라하기엔 아침에 7시쯤 깨는데
깨시가 별로 안길어요ㅠㅠ
아침에 깨서 한 2시간있다가 졸려하고
평소에도 잠와서 잘칭얼거리네요…
낮잠1시간씩 2번자고
밤잠 8시-7시 자고 중간중간 깨긴한데 금방 다시 잠들어요…
철분이 부족해서일ㄲㅏ요?ㅠㅠ","철분이 부족하면 잠을 깊이못자고 자주 깬다고 하던데, 이앓이인가요 ㅠ"
"4개월아기 점퍼루 이제 내일모래 4개월이되는 여아인데요!! 장난감보다가 점퍼루가 있더라구요 ㅎㅎ 보통 언제부터 사용하시나요??^^
그리고 그냥 점퍼루가있고, 쏘서 점퍼루가있던데 여자아이 엄마들 혹시 어떤거사용하시나해서 글남겨보아요 ~>< 추천부탁드립니당 !!><",허리힘 좀 생기면 쏘서나 점퍼루 태우시길 바랄게요 너무 일찍도 안좋아요 저는 아마존쏘서 5개월 중후반 부터 태웠던거 같아요 앉혀두면 쓰러지지 않고 허리힘 있을때요
"22개월 유아식 시판 반찬 22개월 여아
유아식하자마자 푸드케어 반찬 패키지 잘 주문해왔어요 (약 1년간) 아기도 잘먹엇고요 ㅎㅎㅋㅋ
아기가 싫어하는 반찬이 자꾸 껴서 와서 ㅠㅠ
담주나 다담주쯤 업체를 한번 바꿔볼까하는데요
패키지 결제하면 꾸준히 배달오고
맛도 괜찮은곳 어디있을까요??
특별히 괜찮은데 없으면 다시 푸케로 돌아갈예정... ㅎㅎㅎ",푸드케어 케어식을 이용해보세요! 식단에서 원하는 대로 메뉴 변경해서 받아볼 수 있어요~ 저희 애는 알러지라서 케어식 신청했는데 넘 좋아요ㅠ
"체중정체 ㅠㅠㅠㅜ 분유 600대, 이유식 20-30 정도 먹나..?
낼모레 200일 되는데
이제 남들처럼 잘먹이가 되는 꿈은 접었구요
그냥 이정도로 먹으면서 이유식 늘려가면
큰 문제 없이 크긴 크겠죠..?
몸무게 한달째 정체긴해요..ㅠㅠ
이번주에 복직했는데
회사에서도 애기 먹는 걱정밖에 안들어요
괜찮다고.. 그래도 잘 큰다는 말 듣고싶어요
모두 육아팅이요-!!",정체기가 있어요 진짜 걱정 안하셔도 되요
"부모급여 궁굼해요 6월29일 태어남
7월1일날 출생신고 하고 이것저것 신청했러요
부모급여 이달에 들어오나요????
7월달부터 나오나요?",7월요 매 달 10일전에 신청하면 그달 25일에 들어와요. 7월에 6월것도 같이 나올걸요?! 아마도!
"이제 곧 8개월인데 배밀이만 해요ㅠㅠ 무릎으로 기어다닐 수 있게 골반잡아주고 연습하는데도 배가 툭 떨어지고 배밀이로 다닐 땐 오른쪽팔은 구부린채로 왼쪽팔로 앞으로 나가요ㅠ
팔힘을 길러줘야 할 것 같은데 어떤 걸 해야할까요?
8개월에도 배밀이만 아가들 있나요?","8개월 아기가 배밀이만 하는 것은 정상적인 발달 단계 중 하나입니다. 팔 힘을 길러주기 위해서는 아기가 팔을 사용하도록 유도하는 장난감이나 활동을 제공해주면 좋습니다. 또한, 아기의 발달 단계에 맞는 놀이를 통해 팔과 다리의 근육을 발달시키는데 도움이 될 수 있습니다. 8개월 때 배밀이만 하는 아기들도 있으니 걱정하지 않아도 됩니다."
"다른 아가들도 장난감보다 엄마머리카락을 더 좋아하나요??? 장난감 가지고 놀다가도
제가 옆에 매트에 같이 누우면
제 머리카락 발견하면 눈빛이 돌변하면서
막 기어와요ㅎㄷㄷㄷ
눈에 광기가 서린다니까요ㅠㅋㅋㅋㄱㄱ
일어나기 피곤해서 누워서 피하면
피하는 족족 쫓아오고 난리나요ㅋㅋ",저희 애도요..머리카락에 손가락 깨무는 걸 어찌그리 좋아하는지.. 머리카락에 뭐가 있을까요 대체 저희 아들은 전선에 그렇게 눈에 불을 키고 달려들어서... 앗 차라리 머리카락이 낫네요 저랑 눈 마주치면 두손으로 제 얼굴을 잡고 고개를 숙이게끔 만들어서 머리채를 잡고 한들어요 아니 여자아가인데 힘도 왜이리 좋은지 반항
"15개월 수족구 연고 15개월아기가 금요일 수족구판정받고
수포가 많이 올라왔어요
긁지는않는데 어제보다 오늘 더 심해져서
연고를 발라도될까요?",에스로반을 바르세요
"완분아기 가루 유산균 먹일 때 질문요 완분 아기구요.
가루 유산균 먹이는데 분유에 타 먹이거든요.
근데 먹는 양이 그때그때 달라요.
보통 160 타면 다먹을때도 있고 절반만 먹기도 하구요.
아침 첫수에 유산균 타주는데 분유를 다 안먹으니 유산균도 다 안먹어지구ㅠ
돈만 버리는거 같아서 어떻게 해야 좋을지 모르겠네요.
어떻게 먹이는게 좋을까요?",저희애도 첫수에 잘안먹을땐 마지막분유먹을때 fed유산균타서주니까 잘먹더라구요
