tag,age,experience,gender,child_age,season,special_situation,question
예방 접종,20대 후반,둘째를 키우는,아빠,2세,가을,일반,"""가을에 감기 예방을 위해 아이들에게 맞춰야 하는 예방접종이 있을까요?"""
예방 접종,30대 초반,둘째를 키우는,엄마,0세,가을,일반,"""가을에 둘째 아이를 키우며, 이번에 처음 0세 아이를 키우는데, 예방 접종 일정을 어떻게 파악하고 기억하면 좋을까요?"""
육아 보조금,30대 초반,초보,엄마,1세,여름,일반,"""1세 자녀가 여름철에 무더운 날씨로 인해 피부 건강에 더 신경 써야 할 때, 육아 보조금 중에서 피부 보건용품 구매 지원이 가능한가요?"""
육아 보조금,30대 후반,초보,엄마,2세,봄,일반,"""2세 아이 둔 엄마들은 어린이집 보조금을 받으며 힘든 온라인 신청 절차를 따라야 하는데, 간단한 신청법이 궁금해요. 도와주실래요?"""
육아 보조금,30대 후반,둘째를 키우는,엄마,0세,여름,일반,"""여름철 무더위로 인해 에어컨 사용이 잦아져 보조금 신청이 가능할까요? 아이의 피부 건강과 안전을 위해 냉방비용이 높아져 부담되고 있어요."""
육아 보조금,30대 초반,초보,아빠,1세,여름,장애아,"""1세 직장어린이 보육료 지원을 받으려고 하는데, 여름철 놀이 수첩 제출이 어려워서 어떻게 대처해야 할까요?"""
육아 보조금,30대 초반,초보,아빠,0세,봄,일반,"""첫째가 작년 봄생인데 육아보조금은 봄에도 지급될까요? 이번에도 받을 수 있는지 확인 부탁드립니다!"""
육아 보조금,20대 후반,둘째를 키우는,아빠,1세,여름,일반,"""여름철 땀 많이 식히는데 소모적인 물가에 속타는데, 1세 아이의 옷감을 울리고 습기 방지제로 쓰기에 육아 보조금을 받을 수 있을까요?"""
육아 보조금,30대 후반,둘째를 키우는,엄마,2세,겨울,일반,"""2세 자녀를 겨울에 키우면서 육아 보조금 신청이 꼼꼼히 이뤄지지 않았을 경우, 자녀의 건강과 발달에 영향을 미칠까요?"""
육아 보조금,30대 초반,둘째를 키우는,엄마,0세,가을,일반,"""가을이라 더 추워서 아기 옷이 부족한데, 0세 보충금으로 아기 옷을 사는 것도 가능한가요?"""
육아 보조금,20대 후반,둘째를 키우는,엄마,1세,봄,일반,"""1세 아이와 20대 후반 둘째를 동시에 돌보는데 보조금으로 추가 육아 비용을 해결할 수 있을까요?"""
육아 보조금,20대 후반,둘째를 키우는,아빠,0세,여름,일반,"""20대 후반 둘째 자녀를 키우는 아빠로서, 여름철에 아이를 위한 보조금 신청 시 꼭 고려해야 할 사항은 무엇인가요?"""
기타,30대 초반,둘째를 키우는,엄마,0세,봄,일반,봄철에는 새로운 취미나 활동을 시작해보는 건 어떨까요? 어떤 취미를 가지고 싶으신가요? 혹은 봄철에 가장 좋아하는 야외 활동은 무엇인가요?
기타,20대 후반,둘째를 키우는,엄마,2세,가을,일반,가을에 즐기는 야외 활동이 있나요? 혹은 한가로운 가을 오후를 보내는 방법에 대해 이야기해보실래요?
기타,20대 후반,둘째를 키우는,엄마,0세,여름,쌍둥이,여름 휴가를 계획하고 계신가요? 여름 시즌에 가장 좋아하는 여가 활동은 무엇인가요? 최근 여름 스타일이나 트렌드에 관심이 있나요?旅행 계획이 있나요? 혹은 여름에 도전해보고 싶은
기타,30대 후반,둘째를 키우는,엄마,0세,가을,일반,"가을에 어떤 활동을 가장 좋아하시나요? 날이 서서히 선선해지고 단풍이 아름다운 계절, 가을을 즐기는 방법이 있나요?"
기타,20대 후반,초보,엄마,2세,겨울,일반,"이해했습니다. 여기 20대 후반을 위한 겨울과 관련된 질문입니다.

1. 겨울에 가장 좋아하는 여가 활동은 무엇인가요?
2. 새해 다짐 중 하나가 있다면 무엇인가요? 
3. 추운 날씨에 에너지를 충전"
기타,20대 후반,초보,아빠,2세,가을,일반,가을에 즐기는 활동 중 한 가지는 무엇인가요?
기타,30대 후반,둘째를 키우는,엄마,0세,겨울,일반,30대 후반에 혼자 또는 가족과 함께 겨울 여행을 계획 중이신가요? 추울 때 어떻게 따뜻하게 지내시나요?
기타,20대 후반,초보,엄마,2세,여름,일반,여름 휴가 계획이 있나요? 어디를 여행하려고 하시나요?
기타,30대 초반,둘째를 키우는,엄마,1세,가을,일반,가을이 다가오면 가장 기대되는 활동은 무엇인가요? 본인이 즐기는 가을의 특별한 활동은 무엇인가요?생각해보세요.
기타,30대 초반,둘째를 키우는,엄마,1세,여름,일반,당신이 좋아하는 여름 휴가지는 어디인가요?
