question,answer
주말에 아기 돌잔치했는데 어린이집에 답례품 돌려도 되나요?,네 부담일수 있다네요 맞벌이면은 아무래도 더 신경못쓰신 부모님들은 속상해한다더라구요 원에 먼저 물어보셔요
오늘은 밤잠을 안자네요....ㅎ,고생이 많습니다
출산하고 나니 더 걱정돼요..,출산 후 걱정인형이 되어버렸네요..
8월에 아기 100일이신 분들 🤍,백일떡 백일상업체 풍선 올려놓을 과일 요정도요 상차림엔 떡이랑 과일만 준비하면 되는군요 감사합니다 저는 백일떡따로했고 백일상대여업체 백일풍선 직계가족끼리 식사했어서 식당예약 룸으로 예약 했었어요 식당에 상차림을 하는 것도 좋은 방법이겠어요 감사합니다
에어컨,에어컨 다들 에어컨 틀고 주무시나요 ? 🤔  - 애기 있어서 안끄고 살아요
휴대용 유모차,['저는 줄즈잘쓰고있어요!! 핸들링은 요요2 강추해용']
아기 방,블라인드를 암막으로 달고 겉에 쉬폰커튼으로 2중으로 달면 안막효과+인테리어적으로 예쁨 두가지 동시에 되서 아기 잘때만 안쪽 블라인드 내려주면 넘 좋더라구요ㅋㅋ
8개월 아기 이천 테르메덴 어떨까요?,"8개월 아기가 이천 테르메덴에 가는 것은 권장되지 않습니다. 요즘 워터파크나 풀장에서 전염병 걸릴 수도 있고, 물놀이를 길게 할 때가 아니기 때문에 독채 풀빌라를 선택하는 것이 나을 것 같아요."
일본뇌염,전오늘 맞으러가는데 고민하다 결정했습니다 생백신하려구여 담달부터 어린이집도가야하고 저는 맞벌이라 바쁘니^^
장난감,장난감 14개월 여아 아기 선물로 하베 애니멀자석블럭이 모양도 예뻐서 선물용으로 좋아요. 이거 하나로 숫자놀이나 동물놀이도 할 수 있어서 활용하기 좋아요.
7개월 아기 소음순 유착,"산부인과 추천합니다 저희 애기 소음순 유착이였을때 산부인과가서 비팤텐 바르면 벌어지는데 혹시 안벌어지거나 하면 다른 연고? 혹은 째야한다고 둘었어요  소아과에서 영유아 검진 받고 산부인과로 넘어가서 산부인과 추천요 그렇군요! 연고로 해결되면 좋겠네요ㅠㅠ 산부인과 가볼게요, 말씀 감사합니다! :)"
4개월 아기 분유먹을때 산만한데,6개월된 애기도 분유먹으면서 몸비틀고 난리에요 걱정마세요! 자연스러운거니 너무 신경쓰이면 장난감이 보이지않는 방에서 수유하는거 추천드립니다!
8개월아기보행기질문,"저는 3,4개월때 태웠어요 그때도 잘밀고 다녔어요"
13개월 남자아기 발달 괜찮은가요?,지금은 티가 안나는 것 같지만 맘님이 노력하신 게 아가머릿속엔 다 저장되어 한꺼번에 폭발 될거에요! 귀따갑다고 입좀쉬었으면 하는 그날까지 화이팅입니다. 지나가다 대댓 남겨봅니다. 저희 아기가 돌전부터 말했어서 발화가 빠른편이긴한데 돌 지나서는 의사쌤 조언이 도움 많이 되었어요. 돌 지난 아기들 울음끝에 말터진다고 죽고사는
1개월 장난감 추천,초점책이요~
아기 책 어떤거 사시나요? (+추천부탁),도레미곰이예요~ 지금 들이기 이르다고 생각할수도 있는데 도단계부터 노출해주면서 노래랑 들려주면 재밌게 볼 것 같아요ㅎㅎ
시판 이유식,전 이유식은 쭉 시판했고 유아식으로 넘어와서 시판60 직접만드는거40정도비율인 것 같아요. 일하다보니까 아기반찬따로 만드는 것도 좀 힘들더라고요. 시판이 메인이고 시간 여유 될 때 간간히 소고기나 닭고기 큐브 만들었다가 종종 섞어서 먹여요.
돌아기 걷기연습,스스로 잘 걸어서 딱히 시킨건 없었어요 대신 잘 넘어지니 밖에서는 곁에서 지켜보았구요~ 혼자 잡고 서고 소파나 벽 짚으면서 옆으로 걷고 따로 손잡고 걷기같은 연습 전혀 안 시켰어요 알아서 걸을때까지 지켜보셔요
150일 아기 첫니요ㅠㅠ,다 올라오고 보셔두되요! 약간 삐뚤게 나는 경우도잇고 문제없어요 ㅎㅎ 감사합니다마음이 좀 놓이네요
170일아가 분유만 먹으면 똥싸는데 문제있나요?,원래 안 그러다가 횟수 증가 했으면 장염 의심 할 수 있어요. 저희 아기는 돌 지나서인긴 했는데 먹으면 바로 응가해서 이상하다 생각해서 며칠 지켜보다 병원 갈 일있어서 물어보니 장염 초기라고 하더라구요.
쉽게 피곤해하는 아기ㅠㅠ 왜이럴까요?,"철분이 부족하면 잠을 깊이못자고 자주 깬다고 하던데, 이앓이인가요 ㅠ"
4개월아기 점퍼루,허리힘 좀 생기면 쏘서나 점퍼루 태우시길 바랄게요 너무 일찍도 안좋아요 저는 아마존쏘서 5개월 중후반 부터 태웠던거 같아요 앉혀두면 쓰러지지 않고 허리힘 있을때요
22개월 유아식 시판 반찬,푸드케어 케어식을 이용해보세요! 식단에서 원하는 대로 메뉴 변경해서 받아볼 수 있어요~ 저희 애는 알러지라서 케어식 신청했는데 넘 좋아요ㅠ
체중정체 ㅠㅠㅠㅜ,정체기가 있어요 진짜 걱정 안하셔도 되요
부모급여 궁굼해요,7월요 매 달 10일전에 신청하면 그달 25일에 들어와요. 7월에 6월것도 같이 나올걸요?! 아마도!
이제 곧 8개월인데 배밀이만 해요ㅠㅠ,"8개월 아기가 배밀이만 하는 것은 정상적인 발달 단계 중 하나입니다. 팔 힘을 길러주기 위해서는 아기가 팔을 사용하도록 유도하는 장난감이나 활동을 제공해주면 좋습니다. 또한, 아기의 발달 단계에 맞는 놀이를 통해 팔과 다리의 근육을 발달시키는데 도움이 될 수 있습니다. 8개월 때 배밀이만 하는 아기들도 있으니 걱정하지 않아도 됩니다."
다른 아가들도 장난감보다 엄마머리카락을 더 좋아하나요???,저희 애도요..머리카락에 손가락 깨무는 걸 어찌그리 좋아하는지.. 머리카락에 뭐가 있을까요 대체 저희 아들은 전선에 그렇게 눈에 불을 키고 달려들어서... 앗 차라리 머리카락이 낫네요 저랑 눈 마주치면 두손으로 제 얼굴을 잡고 고개를 숙이게끔 만들어서 머리채를 잡고 한들어요 아니 여자아가인데 힘도 왜이리 좋은지 반항
15개월 수족구 연고,에스로반을 바르세요
완분아기 가루 유산균 먹일 때 질문요,저희애도 첫수에 잘안먹을땐 마지막분유먹을때 fed유산균타서주니까 잘먹더라구요
둘째 임신 중 첫째 어린이집 언제 보낼지 고민,"1. 내년 3월에 국공립- 그때되면 큰애도 20개월 정도, 시설 더 크고 집이랑 조금이라도 더 가까움. 둘째 태어나고 100일 되기 전에 입소 예정"
출산 후 첫생리,80일쯤 했어영
여름휴가,제주도는 가까우니까 괜찮을거에요 전 그보다 더 어릴때 좀 더 먼거리로 다녀왔는데 이륙할 때 분유 먹이고 떡뻥도 주고 낮잠도 좀 재우니 잘 있더라고요 떡뻥으로 달래야겠네요.
출산 후 척추 라인따라서 통증 있는분..?,"척추 라인 따라 통증이 있는 경우, 정형외과를 방문하여 허리와 골반 상태를 확인하는 것이 좋습니다. 또한 필테를 통해 치료를 받거나 운동을 꾸준히 함으로써 호전될 수 있습니다. 무통주사를 맞았다면 해당 부위가 더 아플 수 있으니 주의가 필요합니다."
다들 3차 영유아검진 하셨나요?,생일 직전에 하려다가 어디까지 체크가 될까 궁금해서 생일 지나구 마감 직전에 해보려구요ㅋㅋ
바디워시,토루토루올인원바디워시 추천드려요 이것 막쓰는 유목인엄마인데 바디워시만큼은 토루로 정착했어요 성분도좋고 약산성에 펌프 두번이면 다씻겨줘서 딱좋아요.
11개월 아기 친정에서 재우기,지금 쓰는 침대가 엄청큰건데 좁은건 답답해서 걱정이네요..
곧 돌인데 돌치레 제대로 하네요 ㅠㅠ,우리애기는 돌잔치날 열이 펄펄 끓었어요 38도에서 잔치를 진행했다는... 그나마 작게 해서 다들 이해해주고 애기도 무탈히 잘 안겨있기는 했다만 정말 .. 정신적으로 힘들었네요... 돌 전에 아픈거라 다행이에요..
한달밖에 안된 아들이 너~무 귀여워요,태어난지 18일 된 제딸도 너무 귀여워용 새벽에 잠 못자게 해도 귀엽고 똥도 귀엽고 산후우울증 왜 생기는지 아직 의문이에요 너무 귀엽고 보고만 있오도 행복한뎅
박채이 vs 박소은,채이요!
홍반인가요?,홍반은 벌레물린 것 같아요. 얘전부터 한번씩 올라왔다가 바로 사라지는 형태인데요.
이유식 후 녹변..?,이유식 시작하면 변이나 냄새 많이 바뀌긴하더라구요 덩어리도 그대로 나오고..전 포베라 먹이고 있는데 괜찮았어요~ 황금변을 보기도 하나요? 변이 매일 녹색이라 걱정이네요. 저희앤 항상 황금변이긴했어요!! 녹변도 정상이라 크게 걱정안해도돼요! 넵. 감사합니다!! 추천햐주신 유산균 한번 먹여볼께요.
5개월아기 밤잠몇시에 재우세요?,8시에 막밥 먹고 소화시킨 후 8:20-8:30에 자요
출산 후 똥배 잡아주는 팬티 어디꺼 좋은가요??,기프트xx머 브랜드 제품 추천받고 입었는데 커버력대비 엄청 편해서 추천하고 갈게요
수족구 같은데 통증 없으면,수족구 맞는듯하고 반점이 아프기도 안아프기도 해요. 안아프다고 전염성없지는 않고 그저 다행이지요..아파하면 걷지도 못하고 더 힘들어하니까요 의사샘은 가려울거라고 하던데..저희애는 발에난거 무감각이엿는데 입속은.아파하드라구여ㅠㅠ
수족구 걸리면 코로나처럼 아예 외출 안하는건가요?,수족구가 전염이 빨라요... 그래서 사람들 많은데는 안가는게 좋아요~
예민하고 자기 주장 강한 아기…,"근데 다 그러지않나용 그러지 않는 아기가 순한거지 제 주변도 보면 다들 이 시기에 다리 붙잡고 계속 울고 말을 못하니 성질내고 그러던걸요 저희 애도 설명해주신거 똑같아요 근데 신기하게 12개월, 13개월, 14개월 다 다른 것 같아요 14개월 들어가니 부쩍 말귀 알아듣고 안되는거 설명해주면 수긍할때도 늘고 순해져가요!! 임종 전까지 육아는 계속 위기가 왔다가"
낮잠시간,하루 4-5시간의 낮잠은 괜찮습니다. 그때를 즐기세요. 나중에 잠을 안 자는 날이 올 거예요.
저만 다이어트 실패했나여,저도 출산전에 입덧 예쁜옷 하나도 맞는게 없어서 집앞 헬스 등록하고 운동 시작했는데 빼먹는 경우가 많아서 보조제로 닥터아돌카테킨아세로라 먹고 1달째 진행중인데 생각보다 잘 빠져서 깜놀했어요 지금까지 4키로 빠졌어요!!
13개월 아기 소파 낙상 후 발을 못딛어요ㅠ,저도 아기 저희 침대에서 2번 본인침대에서도 1번 떨어졌는데 결론적으론 다 괜찮았어요 ~ 넘 걱정마시도 아기 컨디션 잘 살펴보시면 될것같아요 ~
330일 아기 분유2번 이유식 2번 괜찮나요?,분유는 돌 전후 400~500이 적정하다고 알고 있는데 이유식을 3번 먹어야 하지 않나요? 이유식 세끼로 늘리셔야 할 것 같아요.
16개월아기발달이요,점심밥은 먹여주세요!! 제 아기두 14갤인데 뭐.. 건강히 잘뛰어만 다닐뿐.. 말 못해요 ㅋㅋㅋ
밤에 자는 시간,10시부터가 아닌 제가 알기론 아기가 깊게잠들고 2시간 이후부터인걸루 알고있어요ㅎㅎ 그리고 키도 유전적요인이 큰거같구요늘 6~8시에 자던 두돌아가인데 키가 또래보다 작아요엄마아빠키가 큰편은 아니거든요하지만 일찍 재워버릇하면 그게 습관이되어 커서도 그 틀을 크게 벗어나진않더라구요
제왕 후 배탈나시는분들 계신가요 .?,저도 그랬어요 제왕때문인지 왜인지는 몰랐지만 몸이 많이 약해졌다 생각해서 배달음식이나 자극적인건 되도록 안먹었어요 몇달 지나니 몸이 점점 돌아와서 다 먹을 수 있었어요 몸조리 잘하셔요!! 몸이 약해져서 그런거 아닌가요 저는 원래 위가 약해도 장이 튼튼해서 탈난적이 거의 없었는데 아기낳고 제왕 장염도 두번이나 오고 배탈도 잘나요 그냥 출산하니
두상교정 업체 문의드려요!! 지나치지마시고 꼭 좀 댓글달아주세요,['저는 지오헬멧 구로점에서 하고 있는데 만족해요! 제 글 보시면 경과 후기 있어요 오쏘코리아에서 교정했는데 괜찮았어요. 단점은 좀 비싸다는 것 외엔.. https://m.blog.naver.com/almida/223133674142 불친절하거나.그런건없었나봐요!? 응대면에서 네이버리뷰보니까 별로안좋더라구여 직원들 착하고 친절했어요! 업체 어디든 악플은 있을꺼에요 오쏘
16개월 아기 통잠 못잠,자는 시간이라고 이야기 하고 옆에서 주무셔요! 저도 계속 깨서 같이잤어요 ㄷㄷ
아기를 본인이 안아야하는 시어머니,['주도권 잡으려는 거잖아요 지아들 자식이라고 그냥 손주 너무이뻐서 어쩔줄 몰라하시는거같은데요 ㅋㅋㅋ계속 안고싶고 ㅋㅋㅋㅋ전 그냥 맘편하게 줘버렸어요 편하게계세요 그냥!ㅋㅋㅋㅋ']
11개월 잠퇴행 오나요?ㅠㅜㅜㅜㅜ,이유식 분유 잘 먹는 편이고 철분제도 보충해주는데 왜이럴까요ㅠㅠㅠㅠㅠ
유산균~,비오타민을 먹여야 해요.
생우유 안먹는 아기있나요?,"아 그럼 간단하게 떡이나 과일, 요플레 치즈 이런거 먹는건 별로려나요?아니면 생우유 데워서 줄것같아요 굳이 데우는거면 멸균으로 할필요가 있을까 싶어서요"
가슴처짐 스트레스….남펀이 수술 절대 반대…,맞아요..애낳고 가슴쳐짐때매 진짜 우울했어요..자존감 떨어지고...ㅠㅠ 아내가 그렇게 스트레스라는데 결사반대하는 남편분도 너무 하시네요 ㅠ 일단 그럼 지방이식? 뭐 그런거로라도 대화해보세요.
아기치약 어떤거 쓰세요?̊̈?̊̈,블랑키즐이요!
10개월 아기 이유식 고민되요,유아식 잘먹고 탈이없으면 상관없어요 아이들마다 성장이 다 다르니 더빨리 먹는 아이들도 잇어요 ^^ 애가 잘먹고 똥 잘싸면 문제 없어요 죽 싫어하는 애들 많아요
7개월 아기 치약,블랑키즐 망고맛 쓰는데 아이도 거부감없이 좋아해요 불소치약이에요 조르단꺼 칫솔유명하길래 칫솔도 세트로 삿어욤 ᐟ 약국에도 팔고 네이바에도 팔아용
돌잔치 답례품,저도 수건 그냥 인터넷 검색해서 했어요 가성비 괜찮고 재질도 좋더라구요!
8시에 자던22개월아기가,['낮잠 너무 많이자서용..? 얼집에서 1시간~1시간30분 잤대요... 혹시 일찍일어났나요? 너무 못자도 밤에자기어려워해요 두돌쯤 잠거부 많이 있기도합니당 저희애도 두돌쯤 씨게왔었어요 항상 5시30분-6시에 일어나요 빠르면 5시요 너무 일찍일어나면 7시에는 재워보셔요 낮잠 적게 잔날은 특히 7시에는 잠에드는게 좋아요 이
양손잡이 교육? 어떻게 하시나요,저희 아기도 8개월 때는 그랬는데 9개월 들어서면서 양손 조금씩 쓰기 시작했어요 그래도 양손은 완벽히 못 쓰긴 하는데 원래 우세손이 있는게 발달 측면에선 더 좋은 거라고 하더라구요 좀 더 지켜보심이 어떨까요 긍정적으로 생각해야겠네요!! 제가 너무 조급했나봐요ㅠㅠ조금 더 기다려봐야겠네요ㅎㅎ감사합니다
걸음마보조기들여야할까요,"걸음마보조기 대여해서 써봤는데 누르는 걸 좋아하지 않아요. 조동 아이는 엄청 잘 밀고 다니던데, 빌려서 써보시는 걸 추천해요. 진짜 계속 기다가 어느 순간 걷더라구요."
곧 9개월 자기주도스푼 추천,"잘 먹는 것을 바라신다면 홈이 파져 푹 찍어 먹을 수 있능 것으로, 앞으로의 습관을 위한다면 일반 스텐 스푼으로!"
현재 양육수당이 있나요?,양육수당이 부모급여라고 보면돼요 많이 상향된거죠. 아동수당은 계속 10이에요 글쵸? 감사합니다
10갤아기 탑쌓기해요 ㅎㅎ,10개월 아기가 탑을 쌓는다구요??! 신기하네요ㅎㅎ
2개월 예방접종,로타텍으로 하시고 폐구균은 안하셨어요.
"잘 안 먹으려고 하는 10개월 아기, 이유식 3끼 시간이용..","아니 이거는 너무 하루 종일먹는데요.... 애가 소화될틈이 없는듯요  저희 애 3끼 할때 7시 분유 140 9시 오트밀,직접만든 과일쥬스 등등 1시 이유식 200 5시 이유식 200 6시30분 분유 240 먹엿어요.... 그런가요?ㅠㅠ 아기 몸무게는 잘 늘었나요..? 저희애는 살이 안찌는 애예요... 지금 6살인데도 똑같아요ㅠ 먹은만"
돌돌트라면서요?!?,저희 아가도 자꾸 일어나가지고 발 안 닿게 해놨어요 안 닿게 하니까 ㅠㅠ 한쪽발을 양반다리해서 하네스 착용하거 먹어요 ㅠㅠㅠ 맘님도 한번 한칸 더 밑으로 설치해봐요!! 네 ㅠㅠ한칸 더 내려봐야겠네요 근데 양반다리 너무 귀여워여.. 트트쓰다가 뻬그뻬레고 썼어요ㅋㅋ ㅠ ㅠ 돌돌트 아니시란 말씀이시군
비타민d유산균 이랑 철분영양제 같이 먹어도되나요?,"철분제는 공복 아침에, 유산균은 식후에 별도로 섭취하는 것이 좋습니다. 함께 먹여도 상관은 없지만, 각각의 섭취 시기를 따로 지켜주는 것이 더 효과적일 수 있습니다."
분유를 바꿔야 할까요?..,젖꼭지를 바꿔보시는 것도 좋은 방법일 수 있습니다. 땀이 많이 나면 더 안먹으려하는 경우도 있어요ㅠ m은 버거워할 수도 있어요ㅠㅠ 조언 감사합니다! 젖병과 젖꼭지를 바꿔봐도 효과가 없다면 무전분으로 시도해보세요. 홀레분유는 게움 없이 잘 먹을 수 있어요.
아기 재워서 내려놓기 좋은 아기띠 뭐가 있을까요?,다이치 틱톡올인원이요! 벨크로는 아예 안쓰고 자석형 무소음 버클 사용하고 있어요! 그리구 허리벨트가 넓어서 하중 지지하기 좋았어요!
6개월 아기 수유량&몸무게 궁금해요!,"179일 남아, 4시간텀 4번 수유하고 910~960정도 먹어요! 이유식 시작해서 1회 먹고 있구요 ㅎ 지금 몸무게는 8kg정도에요!"
빌라드지디 안산 안에 있는 순수 미용실 시간 실수로 인한 돌잔치 최악ㅡㅡ,진짜 황당하셨겠어요 빌라드지디 협력업체면 빌라드지디에 칸플레인하세요 저도 다른 곳 협력업체 불친절해서 돌잔치 업체에 연락했더니 사과 전화왔고 당일에도 신경써 주더라고요
로타텍.로타바이러스? 몇개월 안에 다 끝내야되요?,8갤이었던 것 같아요.
산후조리원 나와서 완전 모유수유 성공하신 분도 있는지 궁금해요~,첫째 둘째 완전 모유수유 둘다했어요 둘다 설소대짧고 힘없을때라 조리원서는 거의 분유/보충 이었고 설소대하고나서는 둘다 잘 먹었어요 산후조리원에서 밤새벽수유는 얼마나 하셨어요? 첫째도 둘째도 안했어요!! 오오 희망을 얻어봅니당 너무 스트레스받지마시고 푹 쉬다오세용 퇴소하고나면 지랑나랑 둘뿐이니 먹을
10개월 아가들 혼자 얼마나 노나용 ?ㅎㅎ,['울애는 요즘 한시간은 혼자놀아요~ 블빗 사운드북 틀어놓고 라마즈 노랑나비 흔들면서 놀다가 베비몽 소프트블럭끼우면서 놀아요']
다음주면 8개월인데 이시기에,에듀볼 추천이요! 그리고 변신큐브 그것도 좋아하더라구여!
여러 컨설팅 업체 떠돌아 다니며 정착한 수면컨설팅 후기!,저도 요기서 재컨설팅 받았는데 넘넘 만족스러웠어요!!! 혹시 아기가 몇개월이세요? 저 6갤이요!
아기 양치 언제부터 시키세요??,"아직 이가 나오지 않은 아기의 경우에는 구강티슈나 가제수건으로 잇몸을 닦아주는 것이 좋고, 이가 한 개라도 나오면 칫솔을 사용하는 것이 좋습니다. 이가 약간이라도 튀어나와 있으면 칫솔과 무불소치약을 사용해도 괜찮습니다.구강티슈는 이유식 시작하기 전부터 사용할 수 있고, 이가 나왔다면 칫솔에 고불소치약을 묻혀서 닦아줄 수 있습니다. 이유식 전이라도 아기칫솔질은 위생을 위해 미리 해주는 것이"
4갤 아가들 수유량이랑 몸무게 궁금해요,휴 정말 그때 너무 스트레스 받았어요 먹는양 몸무게에 너무 집착하게되더라구요 조동애기들은 다들 크고 잘먹는거같은데
출산 후 머리 안빠지신 분도 있나요??,['저는 안빠졌어요! 마음의 준비를 하고 있었는데 큰 변화 없어서 아기 150일 차에 미용실에서 머리도 했었어용']
쁘리마쥬 클렌징워터 사용법이요,쁘리마쥬 기저귀크림 씻을때 썼어요 아 감사합니다
박 씨 여자 아기이름 투표 받아여!!,채이 이뻐요!
지성인데 건조한 아기 관리법 좀 봐주세요,일단 즇아지셧다고 하니 3-4일은 지켜봐야 할것같아요!! 화장품은 애바애라 맞는거찾을때까진 많이 사서 발라보시는게 좋은데 하루아침에 좋아질순 없으니 조금만 마음을 천천히 가져보세요ㅠ 소아과에서 아토피끼가 보인다고 하니 저도 좀 조급해진 면도 있는 것 같긴 해요🥲🥲 좀 여유있게 보긴 해야겠어요ㅜㅠ
수유 텀과 양 봐주세요ㅠㅠ,아이고 그러다 애 배앓이와요ㅜㅜ
화내고 마음이 안좋네요ㅠㅠ,마음 안좋고 미안하면 이미 좋은 엄마 아닌가요?
영유아검진 백분위요,따로요
-나 로 끝나는 예쁜 남자아이이름 있을까요??,정제된 답변: 나를 꼭 넣어야 하나요?\n\n나 자체가 중성적이지 않아서 어려운 것 같아요
쓴약 어떻게먹이셔요?,"뱉어내는 건 어쩔 수 없더라구요 저희 애도 약 거부가 심하게 와서 저랑 씨름하고 저도 엄청 힘들었어요. 병원에 얘기해서 맛있는 약으로 바꿔 달라고 해보시고, 안되면 달달하고 맛있는 거부터 맛없는 쓴 약 순으로 먹이시고요. 약들 다 때려 넣어서 섞어 먹이지 마세요. 주스에 약을 섞어 먹는 건 오케이 저희 애는 약통을 좀 예쁜 거로"
구강티슈로 입 속 닦아주세요!!!,닦아줘야해요. 그래야 아가도 입맛이 좋아지구요.
돌잔치 다들 하시나요??,['전 안하려구요..제 주위 엄마들은 가족들만 불러서 하거나 아님 정말 친한 친구/지인들만 불러서 하나봐요요즘 다들 그러더라구용첫째때 친인척까지만 불렀고 둘째는 안하고 해외여행가려구요(첫째도 남편이 부모님 생각해서 하자고 해서 했어요)요즘 제 주변은 거의 안하는것 같은데남편친구들은 하더라고요 부모맘인듯해요해외여행너무 좋은데요
11개월 코감기,애기 너무어리네요. 코감기면 고생좀할건데 따뜻한물 자주마시고 코에 자극안가게 환기 자주 시키는거밖에 방법이없네요. 근데 또 요즘 미세먼지 안좋아서 그냥 공기청정기 사시는거 추천드려요. 저희집도 무자극 공기청정기 남편꺼 까지 두개샀는데 좋더라구용.
이유식 먹일 때 물 뭐 먹이세요?,저는 그냥 생수 먹이다가 마더스밀 작두콩배도리차 주고 있눈데 티백이 잘 우러너서 물 안끓여도 되고 편해서 좋더라구요! 아이도 보리차 같아서 잘 마셔요 :)
"아기가 토를하는데 계속 먹어요,,,,,,,",저희 애도 그랬어요 보통 배부르면 혓바닥으로 젖병 밀어낸다고 하는데 한번도 그런 적 없이 주는대로 다 먹고 또 게워내고 반복이었답니다 저도 거의 1시간씩 트림시키고 안고 있는데도 1-2시간 뒤에도 또 트림하고 게워내기 일쑤였어요  근데 이제 91일차 3개월 돌입했는데 여전히 혀로 밀어내는 거 없이 주는 족족 다 먹고 게워
어린이집 선택 어디가 좋을까요?,"국공립 보내세요. 학대는 국공립, 가정을 가리지 않아요. 아 국립 좋군요! 감사합니다."
6개월아기 다리주름 봐주세요ㅠ..,다리 쭉 폈을때 발길이 똑같으면 괜찮대요... 돌지나서 걷고 살빠지니 주름 없어지더라고요.
아기 어린이집,10개월부터 보냈어요. 가정어린이집이라 어려움없이 잘 적응해서 다녔습니다.
돌아기 어린이집 생일케익,아에 떡케잌같은걸 주문하셔도 될것 같아요 15개월부터 어린이집 다녔는데 그때부터 좀 내려놨어요 마이쭈도 먹고 초코시리얼도 먹고 그냥 매일 먹는거 아니고 한번인데하고 케잌 캐릭터로 보내줬더니 아이들 신나게 먹고 오ㅓㅆ더라구요 주변에 쌀로 만드는 케이크 집 있으면 찾아보세요 저는 요일이 안맞아서 뚜레쥬르 우유 생크림
블로그 서이추해용 🫶🏻,서이추했습니다! 저도 했습니다~!
