question,answer
수유텀 맞추기 양 늘려야할까요 조리원 퇴소 후 집에 오고 3일차부터 3시간 텀 100미리로 맞췄는데 요즘 다시 일찍 깨서 다시 힘드네여  이럴 땐 양 늘려야겠죠,양을 늘리는 것이 좋을 것 같아요.
호적메이트의 상견례 뭐입고가죠  출산 후 남은 5키로가 참 안빠지네요  상견례자리다보니 단정한 옷을 새로 사야할거같은데 점잖은 옷 많은 인쇼 추천부탁드려욤,상견레 자리에 딱 좋을 옷이요
아기띠 산책아기가 무거워요 오늘 아가랑 아기띠 산책 다녀왔는데 벌써 아기가 너무 무거워요 베이이뵨 미니 쓰구 이제 6kg 정도 되는 아가예요 신생아 아기띠 졸업하면 다들 어떤 걸로 교체하시나요,6개월부터 힙시트로 교차하고 있었어요
맨날 어디에 손가락을 베이는건지 요즘 맨날 회사 갔다가 퇴근하고 오면 손가락이 어디 베여잇아요 날카롭게 막 베인건 아니고 뭐 만지다가 어디 걸려서 아주 살짝 베인느김 장난감이나 책에 베였나 하고 주변 사물 다 만져봐도 저는 도저히 모르겟는데 이거 하루종일 감시를 해야하나싶네요,10갤 아기인데 엄마 아빠만 봐도 손가닥에 긁힌상이 보여요 ㅋㅋㅋㅋㅋ
낮잠등센서  조언부탁드려요 저희 아기는 80일쯤부터 밤잠은 통잠자기시작해서 지금은 새벽 56시쯤 깨도 혼자 옹알이하다 손빨다가 혼자 수면연장하고 7시쯤 일어나서 첫수해요 밤잠은 너무 신기할정도로 잘자는데  낮잠은 계속 안고있어야지 잡니다 눕히면 깨고  눕히면 울고불고 저는 아침부터 신랑 퇴근할때까지 밥도 못먹고 계속 안고 있어요  혼자서 노는것도 짧은편이라 집에서 뭘할수가 없어요  울려본적도 있고 울리고 빵먹은적있는데 제가 체해서 토하고 난리난리 휴 좀 크면 등대고 잘까요 계속 신생아처럼 안겨만 있으려고하니깐 터미도 잘 못하고 발달도 느릴까봐 걱정입니다,"아기가 100일이 되면 좀 나아질 수 있습니다. 150일까지 힘들 수 있지만, 160일부터는 좀 더 잘 자려나요? 저희 아이는 그래요."
부가부 드플 부가부 드래곤플라이 샀는데 쓰시는분들 라이너 어떤거 쓰세요 애기아직 두달밖에 안됐어요,쿨매트쓰구있어용
34일차 아가 빨기본능 완모직수아이인데 아이가 빨기욕구를 제 젖꼭지로 해결하려고만 해요 젖양이 많은 편이라 젖을 계속 물리면 과식을 하고 게워내서 문제입니다 쪽쪽이를 지금 4개째 무는데 다 싫어하고 손가락을 빨게 하자니 모로반사가 아직 있어서 손을 내줄수가 없어요 이런 경우는 어떻게 해야할까요,쪽 쪽이 싫은 아이들은 빨기를 넘어서 씹는 것도 좋아해요. 쪽-쪽이가 아닌 빨아도 잘 빠지는 빨개 팔찌나 빨대컵 같은 걸 사용해보세요.
아가 낮잠시간엔 외출 피하시나요 저희애는 10개월이구여 낮잠1은 대충자고  짧으면15 길면40분 낮잠2를 최소1시간 최대 2시간 자는데요 보통 낮잠2 시간이 12시1시부터 23시에요 그러고니선 버티다가저녁 8시쯤자요그래서 낮잠2가 중요한 아가인데요 낮잠2 시간이 가장아기델고 나가기 좋은 시간이고 누구 만나기도 좋은 시간인데 나가면 아기 낮잠을 잘 못재우게되서 못나가게되는데 이맘때아가 키우는 맘님들도 이러시나요 새삼궁금합니다 ,낮2는 안나가요~ 1시-3시 사이에 자요~
아기상어 자일리톨 사탕 아가 양치하고 바로 줘도 되는건가요 한알씩,아가양치하고 줘야 잇몸에 닿는 시간이 더 길어서 더 효과적이대요
11개월 아기 엄마아빠 곧잘 하는데요 그냥 해요 엄마한테 엄마 아빠한테 아빠 이런 느낌보다도 그냥 나와서 하는 느낌 이제 정확히 대상을 알고 해야 할 것 같은데,엄빠 엄엄 아빠아빠 하면서 혼자 놀다가 사람 봤을때 엄바아빠아바 이런식으로 하더라구요 저희애기도 엄청 빨리 했는데 엄제는 엄자에 엄이랑 엄만 제대로 알고 하지도 못하고 엄아빠가 먼저 났어요
에너자이저 아기 9갤 남아 에너지가 넘쳐요 슈퍼베이비로 태어나서 아직 유지중인 아가예요 정말 눈에 호기심이 넘쳐서 무조건 돌진하고 올라가고 다른 아가는 남아여도 얌전한 친구들도 있던데 같이 있으면 정말 남달라요 어르신분들이 엄마 힘들겠다고 뭘 어떻게 더 신나게 이 아이를 충족시켜줘야할 지 고민이에요 다들 뭐하고 아기랑 지내시나요,에네자이져인 아기는 놀이터나 산책이 좋을 것 같아요.
복지로에서 아동수당 계좌변경 되나요 복지로에서 계좌변경 된다고들었는데 어디서 확인가능할까요,복직이 30일정도 걸린다 하셨어요
수면교육 수면 패턴 잡기 꿀팁 있으신가요 누워서 재우려고 하면 낑낑대고 점점 보채면서 울다깨요 항상 업어서 잠들면 내려놓는데 이제 몸무게가 나가서 힘드네요 불빛 어둡게 하기 자장가 틀기 외에 수면 유도 꿀팁 있으신가요,수유시간을 늦추세요! 저희애는 7시반에 수유하고 8시에 잠든아기인데 8:30에 깨서 8분동안 울어도 안깨요
육아 관련 책 추천  육아 관련 책 추천 부탁 드려요 개월 별 발달에 따라서 아이와 어떻게 놀아야하는지 어떤 점을 유의해서 봐야하는지 등 전반적으로 알 수 있는 육아교육책 초보맘이라 기초적인 육아 관련 공부하고 싶은데 괜찮은 책이 있으면 추천부탁드립니다,베이비올 초보 육가맘이면 저도 베이빗솔 추천해요 저도 이 책으로 육 아시기 시작했는데 괜히 많이 들었어요.
부산 돌영상 업체 추천해 주세요 돌 스냅은 예약했는데 전문가의 영상으로도 남겨두고 싶어서요 지역은 부산입니다 돌영상 업체 추천 부탁드려요,부영 스튜디오요! 컨셉도 다양하고 촬영장소가 넓어서 여러 장소에서 촬하게 되더라구요! 영상 퀄리티도 좋더라규요!
폴로POLO돌두돌때 입히는 사이즈 3이랑 3T 사이즈로 나뉘던데 무슨 차이인지 아시는 분_,3은 3살 3t는 3세미만 이렇게 되어있어요 ㅎㅎ
출첵합니다 오늘도 고생하셨습니다 남은시간 육아팅하세요,출석하러 왔어요
대전 노은역 근처에 사시는 맘 계실까요 왕래 자주할수 있는 친구를 구하고 있어요 저는 93년생 아기는 23년 1월생입니다 저희 시어머니께서 남편 키우실때 주변 이웃엄마들과 친하게 지내셨는데 지금까지도 같이 모여서 놀고 하시는게 너무 좋아보이더라구요 그래서 저도 가깝게 볼수있는 친구를 구하고 있어요 나이는 크게 신경쓰지 않아요 저는 적어도 24개월 가정보육 예정이고 전업맘입니다 스마트폰 티비 아직 안보여주고 있어요 나중에 동네에서 뛰어놀게 하고싶어요 친구들이랑 저와 성향이 맞겠다 싶으신분들은 연락 부탁드려용 글 작성한지 오래 된 후라도 연락주시면 좋아요,안녕하세요 25년 2월생 아가 키우고 있는 엄마입니다. 9월부터 옮어와서 낯선데서 살고 있어서 친구구하기가 쉽지 않네요 ㅜㅜ 저도 친하게 친하게 연락해도 될까요? 저는 전업이고 13년도생이에요. 저는 그냥 엄두가 안나서 11개월쯤 되면서 집에서 밖에 나가진 않았어요 ㅠㅠ 15개월된 지금도 나가본적이 거의 없어요. 그냥
8갤응애 이유식안씹는데  255일 된 공주에요 과일은 과즙망으로 주긴하는데 진짜 잘먹거든용 딸기 수박은 안먹고 자두 복숭아 메론 진짜 잘먹는데 아휴 먹성이 좋은건지 진짜 먹는거 자기 안주면 소리지르고 앞에있는 물건 다 던지면서 성질내서 주긴주는데 매번 안씹고 급하게 삼켜서 웩웩거려요 미취겠네여 흑흑 그러곤 뱉고 또 달라고  요즘엄마들처럼 몇단계이런건 모르겠규 어른먹는 죽 정도로 주는데 윗니2개 아랫니2개났어요 더 곱게 갈아줄까요,윗이가 났으니 좀 씹을 것 같아요. 좀 더 갈아줘보세요.
5개월 아기 뒤집기 뒤집기 시작하면서 분유 개워내는 건 너무 당연한거죠  소화 좀 시키려고 안아주면 싫다고  내려달라고 허허 ,저희아기는 6개월쯤 뒤집고 개워냈어요 ㅠㅠ
꿈수 양치 140일차이고 수유량이 얼마 안되서 밤에 일찍 재우고 꿈수를 하고 있어요 양치는 자기전에 목욕할때 시키고 있구요 양치 괜찮은걸까요,잠자리에 들고 양치 시키면 꿈 수라고 하더라구요. 저희애는 밤잠 자기 전에 양치하고 꿈 슈하고 있어요. 잠들어도 양치해주고 있어요~ 그럼 꿈슈라고 하면 되는군요. 감사합니다.
신생아 바닥에 까는 패드 신생아 안고 이제 낼 조리원 퇴소해서 집에 가요 침대에 누워서 거의 자겠지만 바닥생활할 때 패드 깔고 지내면 되겠죠 도노도노 범퍼침대랑 같이 패드도 준비했는데 탄탄하니 괜찮더라고요 눌렀을때 너무 푹 들어가지도 않고 뒷면에 미끄럼방지도 되어있고 역방쿠 아래 깔아주려고요 집에 돌아가면 현실육아 어떨지 떨려요 ,신랑이 안아서 보면서 앉기 좋고 앉는 자세도 잡아주기 좋더라고여 신랑 옆에 있을 때도 잠시 앉아서 눕혀줘야 되니 앉았다 앉으러 가고 이게 앉을 수 있나 싶을 정도로 안정적이었어요
계란알러지 혹시 계란알러지 있는 아기 빵이나 이런거 집에서 계란 대신 어떤거 넣고 만드세요,계단 대신 치즈 넣었어요 치즈를 넣어요
청라에 아가랑갈수있는 식당 혹시 아직 23개월 아가들이랑 갈수있는 식당이나 레스토랑 있을까요 카페도좋구요추천부탁드립니다,아가들랑 갈만한 곳은 맘마밀이고 베이비카페가 좋을 것 같아요.
오늘 12개월 아기 종일반 처음 다녀왔는데요 남편이 등하원을 했고 저는 집에서 아기를 반겼어요 근데 아기가 절 안좋아하네요  남편이 잠깐 자리비울때마다 울고 제가 달래도 달래지지고 않고 절 왜 싫어할까요 저한테 애착이 없나봐요 왜일까요 밤에는 늘 남편이 재웠지만 이제껏 낮시간엔 제가 오롯이 돌봤는데 이 느낌이 처음이 아니에요 저말고 남편만 좋아하는 느낌 ,아기들마다 다르더라구요. 저희애는 아빠가 육아를 하는데도 그래요. 애착은 저에요. 육휴때부터 저랑 24시간 같이 지냈는데도 아빠만 잡아요. 아빠랑 시간을 많이 보내면 더 붙어서 힘들어요.
곧 돌맘입니다 가족끼리 식사로 돌잔치 대체하는데 그래도 스냅이며 나름 돌잔치스럽게 하는데 영상 틀면 좋다고 해서 제작하려고하는데 뻔하지 않고 귀여운 돌영상업체 추천해주세여 검색해서 나오는 업체는 너무 뻔하고 재미없더라구요 ,에뜨와스냅 추천드려요
아이가 구역질 할때까지 뭔가를 계속 넣는데 괜찮은걸까요 하루에 한두번씩 손가락이나 인형 같은걸 놀다가 입안 가득 넣어서 구역질을 하네요 음식은 한번에 안주고 한조각씩 줘서 그런지 잘 씹고 넘기는데 졸리거나 심심하거나 하면 손가락이나 인형을 가득넣고 눈물날정도로 구역질을 해요이제 11개월 다되어가는데 매번 제지를 시켜도 하루에 한번은 꼭 하는거 같네요 혹시 이런 아기 키우시는 맘 있을까요,아이들이 손가지고 입에 넣는건 자연스러운 행동이에요. 걱정 안하셔도 될 것 같아요.
아기가 웃음이 줄았어요 정말 잘웃는 아기였는데 돌 즈음 아프고나서 윳음이 싹 줄어들고 칭얼거리기만해요 엄마껌딱지되고요 뭘해도 안웃는데 이런경험있으신분들 있을까요,"울면 칭찬해주고, 웃으면 칭구해주세요."
등에 모유 도는 느낌 찌릿찌릿 언제까지가요 완분이고 바로 단유약먹고 생리도했고 출산2개월에 흐르는거는 없는데 한번씩 등이 찌릿찌릿해요 딱 처음 모유 흘렀을때처럼 그러는데 언제까지 가나요 모유가 계속 쪼금씩 몸에 생기는것같은데 그래서 살도 빠지다가 정체기온것같고,등이 모유를 빼주는 찌르르한 느낌은 젖몸살이라고 하더라구요! 몸 살이 빠지고 쪼끔씩 모유도 흐른다 하더라고요!
8개월차 아기 저희 엄마가 실수로 먹였던 젖병에 분유를 타서 먹였다는데 사용했던 젖병을 물로 씻어놨던건데 안쓴건줄 알고 분유타서 먹였다는데꼭지는 물세척도 제대로 안되어있는걸 다시 물린건데 괜찮을까요,괜히 걱정마세요 젖꼭지에 먼지나 찌꺼기가 붙어있으면 괜한건데 물세탁만 해놓은건 괜찬아요.
아기 스케줄 좀 봐주세요 9개월 아기이고요 이유식 분유랑 낮잠타임 훈수 좀 마구마구 둬주세요 제대로 가고있는건지 모르것어용 언제쯤 세끼로 가고 분유는 2번으로 줄이나용 아기스케줄 7시 첫수  200 9시10시반  낮잠1 301시간반 랜덤해요 잠드는 시간도 랜덤 자는시간도 랜덤 10시반11시 이유식  150180 1시3시  낮잠 2 이것도 랜덤 잠드는시간도 랜덤하고 깨는것도 랜덤 23시 분유  200 낮잠 후 깨면 바로줘요 5시5시반 이유식  150180 7시반 막수  200 중간중간 간식 상황봐서 주고있고 분유는 총 600먹고 이유식은 두끼 300350정도 먹어요 문제는 낮잠인데 이게 항상 랜덤한데 괜찮을까유,저희애도 12개월까지 이유없이 깨기 몇번을 그러더니 13개월에 밤잠 8시간을 자더니 이제 14개월인데 밤에 6시간정도만 자요 ㅠㅠ
10개월 아기 하루종일 소리지르고 울고 짜증내고요  말도 안되는 옹알이로 하루종일 짜증내고 울고 찡얼대고 다 이런거 아니죠 이게 성격일까봐 걱정되요 제가  성격이 불안도가 높고 부정적인 부분이 심한 편이라 저 닮은걸까봐 상당히 염려스럽네요  남편이 감정기복없고 세상 불만 없고 긍정적인 사람이라 남편닮기 그리 바랐는데 아무래도 절 닮은 모양이에요,엄마가 걱저너하면 아이도 걱자너해요 저는 걱려하지마시고 18개월까지는 넘어가면 괜찮아진다더라구요 그래도 11개월인데도 엄청 짜잔내고 우네요
수유량 괜찮나요 그리고 낮잠을 갑자기 안자요  31일된 여아구요 45키로에요 제목처럼 어제까지는 낮잠을 5시간6시간 정도 잤는데 갑자기 오늘부터 1시간 밖에 안자고 계속 우네요  수유량은 7080씩 수유텀 2시간 정도씩 먹고있는데 괨찮나요,수면텀이 짧아서 잠을 안자는거 아닐까요? 120을 먹고 4시간 텀으로 잤어요
57일아기 엉덩이닦아주는 물티슈 뭐쓰세요 지금 응가양이 많아지기도했고 좀 미끄덩 그런게있어서 물티수로 1차닦고 하는게ㅡ낫더라구요 쿠팡에서 사려는데 혹시 추천해주실만한게 있으실까요,베베가드꺼 써요!
정부지원금으로 베이비시터 이용 가능한가요 산후도우미 서비스는 끝났어요 정부지원금으로 이용하니 저는 좋았거든요 근데 하루에 3시간 정도만 베이비시터 이용하고 싶은데 정부지원금으로 할 수 있나요,30일까지는 가능하대요
73일된 아기입니다 낮에 아기 낮잠재우면 2030분 자고 갑자기 울면서 깨요 그러다 510분정도 토닥이면 다시 잠들고 2030분 더 자는데 밤에는 안그러는데 낮에는 갑자기 울면서 깨는 이유가 뭘까요  낮잠 4번 자는데 다 그러네요 4번중에 연장은 3번정도 되요,낮에도 밤처럼 깊게 자는 잠은 없어서 그런거 같아요 밤에만 깊은잠자는건 아니고 낮밤 다 그래요 낮 낮 잘 잠깐 자서 울어서 다시 재우는거 같은데 밤은 안그래요
유모차 등받이 올리다 아기 팔 끼임 괜찮을까요 8개월아기이고 유모차에서 아기가 팔을 위로 뻗고 있었는데 신랑이 모르고 등받이를 올려서 누운자세앉는자세 자세를 바꿨나봐요  그 사이에 아기 팔이 유모차 틈에 끼여서 울더라구요 제가 확인해서 바로 뺐고 끼인건 한 2 3분 내외예요 아기팔이 연약해서 너무 걱정이네요 뼈가 휘거나 그러진 않을까료  이후로 보채거나 울진 않습니다 병원가서 엑스레이 찍어봐야할까요,뼈 휘는건 아닐거에요 울고 난 후 괜찬았다면 괜차게 컸을거에용 육아하면서 아기 손목이나 팔다리 등 틈끼이거나 다리에 팔 다리끼이면서 힘쓰는 일이 자주 생기니까요 괜히 걱정보다는 좀더 늘어나서 다시 끼이지 않게 유모카 높이 조절하시는게 좋아요
유모차 태우기 어려워요  곧 4개월차 되는 아들인데 유모차 태우면 고개를 앞으로 푹푹 숙이는데 어떻게 해야 할까요  완전히 앉은 자세가 아니라 한 45도 정도 눕혀져있어요,유아차에 앉히면 괜찮아요. 유아시트도 똑같이 숙이고 앉아서 팔이랑 다리가 굽혀지고 불편하더라구요.
연속재생되는 마이크 있나요 마이크 사주려는데 버튼 눌러야 넘어가는 거 말고 연속재생되는 마이크 있나요,연습용이랑 노래불러서 듣기용은 다르죠.
